#Table1
specobjid,ra,dec
6981723842936068096,10.231602,10.741874
12432308684239165440,10.232373,12.228009
6986346464713922560,10.235025,11.030792
6368357428963334144,10.235293,11.280417
12432309233994979328,10.235549,12.263848
5114033187811776512,10.235736,10.347773
6981726866593044480,10.235922,11.016202
6986343715934853120,10.236389,10.819952
6982946226330425344,10.236486,12.144548
6986343166179039232,10.236624,10.743827
6368109489091270656,10.236695,10.498063
6986355535684851712,10.237378,11.31457
6981965460616271872,10.237867,12.076372
6982944851940890624,10.238888,12.394068
12432316655698466816,10.239001,12.854841
12437979414821885952,10.241028,10.143909
6981973981831387136,10.241323,11.277782
6986342616423225344,10.242388,10.72516
6368356329451706368,10.243582,11.407016
6981970958174410752,10.245305,11.492916
12432309783750793216,10.246119,12.278084
6983012197028091904,10.246372,12.944466
6982936605603682304,10.24701,12.567639
6368355504817985536,10.248023,11.503324
5114033462689683456,10.249406,10.468187
6982937979993217024,10.249957,12.669532
6368111688114526208,10.252472,10.795605
6981967659639527424,10.25291,11.886367
6981720269523277824,10.253601,10.366424
6981967384761620480,10.258666,11.858766
6981713947331418112,10.258814,10.69802
5114031813422241792,10.259403,10.515958
6982942652917635072,10.259827,11.82709
6982940728772286464,10.26178,12.815147
6982945401696704512,10.261832,12.400381
6368359353108682752,10.264463,11.144039
6981714497087232000,10.26788,10.839327
6368354130428450816,10.268502,11.568142
6981970133540689920,10.268981,11.427497
6368356879207520256,10.269527,11.413313
6986341516911597568,10.269712,10.650572
6983011922150184960,10.270297,12.987914
6981714222209325056,10.270498,11.01952
6982938254871123968,10.272602,12.747896
6368350282137753600,10.273546,11.720383
5114030164154800128,10.273873,10.657003
6982941003650193408,10.274003,12.910942
6982945951452518400,10.276425,12.41214
6982942103161821184,10.276505,11.710532
6986352786905782272,10.278401,11.495118
6368090522515691520,10.279574,10.448988
12432316105942652928,10.280118,12.725654
6986346189836015616,10.280325,11.025572
6368353030916823040,10.280717,11.838153
6368097394463365120,10.281023,10.576804
6368101792509876224,10.281811,10.127256
6981970683296503808,10.282893,11.711394
6982937430237403136,10.283376,12.651171
6368105365922666496,10.284728,10.335126
6368103991533131776,10.287437,10.207463
6368356604329613312,10.287791,11.526201
6982937155359496192,10.288284,12.67299
5114032912933869568,10.288933,10.369603
6986335469597644800,10.289123,10.499369
5114031263666427904,10.289184,10.588372
6981973706953480192,10.290597,11.297415
6368106190556387328,10.290611,10.50953
6368107564945922048,10.291707,10.849203
5114034562201311232,10.291935,10.400234
6981713397575604224,10.294328,10.886012
12432315281308932096,10.294987,12.649822
6986344815446480896,10.295143,10.983304
6368358803352868864,10.295307,11.200291
6981712298063976448,10.295547,10.579633
6981716146354673664,10.295684,11.044954
6368356054573799424,10.296549,11.395917
6986342341545318400,10.297657,10.860086
6981969583784876032,10.297692,11.536166
6983010272882743296,10.29886,12.975802
6986361033242990592,10.299014,11.386625
12432308959117072384,10.303698,12.118584
6368354680184264704,10.30586,11.528808
12432314181797304320,10.306631,12.586174
6982938529749030912,10.306885,12.654696
6368358253597054976,10.308171,11.151002
6981719719767463936,10.309367,10.23187
12432310058628700160,10.310374,12.311024
6982946776086239232,10.310455,12.214592
6368351656527288320,10.311004,11.732727
6981972332563945472,10.31203,11.381547
6368105915678480384,10.313123,10.3545
