#Table1
objid,ra,dec
1237678857938993443,10.00001863203,11.5263756592572
1237678859549606587,10.0000264762526,12.7319724317171
1237678918061457486,10.0000378740129,11.2962862798627
1237678907860583032,10.0000652081814,10.945820411853
1237678907860583168,10.0000821665755,10.8775983150118
1237679319093674051,10.0000835840749,10.2641603734264
1237679320167350935,10.0000846263291,11.1433537385406
1237679319630546044,10.0001259323472,10.6924628551851
1237679319093674260,10.0001345752415,10.2138416484594
1237679319630545274,10.0001364865954,10.6739633472904
1237679319093674471,10.0001459671118,10.3042100534916
1237678859012735500,10.0001550435593,12.3758588286544
1237678859549606585,10.000157760455,12.7377126991446
1237678918598329166,10.0001681368346,11.7677559051031
1237679319630545097,10.0001856601983,10.7575519696319
1237679319630544901,10.000185910402,10.6266384342112
1237679319630545263,10.0001998580814,10.7888611746706
1237678918598328779,10.0002012964289,11.6788551190013
1237678859549606575,10.0002036664797,12.8672949049498
1237678907323711978,10.0002442221345,10.41261100321
1237679320167351134,10.0002486202457,11.0726643059199
1237679319093674881,10.0002580742959,10.3704169074574
1237678857938993334,10.0002635423441,11.5104026648385
1237678907323711972,10.0002759374922,10.4757059701786
1237678859012735795,10.0002769656499,12.40448916482
1237678907323712271,10.0002788896099,10.4601012868948
1237679319093674478,10.0002829976588,10.1818451271068
1237678858475864636,10.0002982706545,12.0170334531703
1237678907323712259,10.000305446728,10.587544961182
1237678859012735796,10.000318397544,12.3085014774021
1237678907860582610,10.0003352575292,10.9341841626634
1237678907860582801,10.0003356936593,10.8137514269416
1237678857938993794,10.0003555945148,11.5465170631782
1237679319630546046,10.0003722131892,10.7065182453432
1237679319093674882,10.0003802411277,10.3074206905117
1237678919135199914,10.0003976199027,12.13861158131
1237678919135199618,10.0004257704541,12.0440843777265
1237679319630545738,10.0004297655253,10.6153183041584
1237678907323711979,10.0004506362981,10.4113808353186
1237678858475864994,10.0004684763131,11.9576146816267
1237678907860582800,10.0004784236973,10.834454398718
1237678907860582799,10.00048128145,10.8418765080057
1237678859549606581,10.000484303453,12.8448443714171
1237679319630545276,10.000490671278,10.6713204091065
1237679319093674031,10.0005166421754,10.266437366138
1237678919135200067,10.0005249582132,12.2061774469089
1237678858475864643,10.0005474760025,11.8976436527103
1237678919672070451,10.0005519102738,12.5745848229955
1237679320167350588,10.0005537154882,11.0301666926644
1237678906786840849,10.0005884019904,10.0581249159617
1237679319630545271,10.0006096559359,10.6604796473047
1237678920208942140,10.0006771347885,12.9236559528408
1237678859012735499,10.0006833972458,12.4125298081805
1237678919135199377,10.0007039531795,12.1145046758645
1237679319630545098,10.000744649602,10.7312693340882
1237678858475864805,10.000795353844,11.8887493289942
1237678919672070446,10.0008062677684,12.6551084951652
1237678918061458192,10.0008153931607,11.3256892579082
1237678919135199620,10.0008261313432,12.0366709682274
1237678919672070309,10.0008497197389,12.4787162417685
1237678907323712261,10.0008528349371,10.5676575003184
1237679319093675244,10.0008638671276,10.2242373196718
1237678907860583034,10.0008678093417,10.9850059710919
1237678907323711975,10.000869441153,10.4356814458418
1237679320167350473,10.0008897493324,11.0157877413393
1237678859012735663,10.0009107523968,12.2699732144802
1237678859549606588,10.0009140059796,12.7311630095264
1237679320167351225,10.000914886484,11.1862111180151
1237679319630545264,10.0009171502849,10.7873298075378
1237678918061458193,10.0009318420525,11.2843608166697
1237678918061457783,10.0009552885387,11.2868018990859
1237678907860582438,10.0009745185652,10.896778085871
1237678918598329052,10.0009800298671,11.6737850661047
1237678907323712269,10.0010122916808,10.5414097256398
1237678858475864993,10.0010151719507,11.9889589544772
1237678907323712267,10.0010172796902,10.5335744463777
1237678857938994073,10.0010397270145,11.5343740358456
1237679319093674256,10.0010420870405,10.3644067638499
1237679319093674883,10.0010536837898,10.298045621673
1237678918598329050,10.0010632505815,11.8170204530875
